t,u,wl,wr
0,0,0,0
0.025053999999999,0,0,0
0.050082999999999,0,0,0
0.0750289999999989,0,0,0
0.100149,0,0,0
0.125007,0,0,0
0.1501,0,0,0
0.175056999999999,0,0,0
0.200011999999999,0,0,0
0.225,0,0,0
0.250107999999999,0,0,0
0.275145,0,0,0
0.300009999999999,0,0,0
0.325127999999999,0,0,0
0.350062999999999,0,0,0
0.375048999999999,0,0,0
0.400058999999999,0,0,0
0.425035999999999,0,0,0
0.450018999999999,0,0,0
0.475095999999999,0,0,0
0.500105999999999,0,0,0
0.525288,0,0,0
0.550077,0,0,0
0.575042,0,0,0
0.600071999999999,0,0,0
0.625065999999999,0,0,0
0.650001,0,0,0
0.675013999999999,0,0,0
0.700068999999999,0,0,0
0.725,0,0,0
0.750064,0,0,0
0.775091,0,0,0
0.800065999999999,0,0,0
0.825061999999999,0,0,0
0.850049,0,0,0
0.875038999999999,0,0,0
0.900001999999999,0,0,0
0.925096999999999,0,0,0
0.950111,0,0,0
0.975007,0,0,0
1.000071,0,0,0
1.025196,3.105,0,0
1.050048,3.105,7.26056968829641,6.42281164733913
1.075044,3.105,15.079644737231,14.2418866962737
1.100134,3.105,18.7099295813792,18.151424220741
1.125127,3.105,20.1061929829747,20.1061929829747
1.150072,3.105,20.6646983436129,20.6646983436129
1.17504,3.105,20.943951023932,21.5024563845701
1.2,3.105,21.5024563845701,21.5024563845701
1.224996,3.105,21.223203704251,22.0609617452083
1.25004,3.105,21.5024563845701,21.7817090648892
1.2751,3.105,21.5024563845701,22.0609617452083
1.300138,3.105,21.5024563845701,21.7817090648892
1.325011,3.105,21.5024563845701,22.0609617452083
1.350065,3.105,21.5024563845701,22.0609617452083
1.375058,3.105,21.5024563845701,21.7817090648892
1.400045,3.105,21.223203704251,22.0609617452083
1.425065,3.105,21.5024563845701,22.0609617452083
1.450011,3.105,21.5024563845701,22.0609617452083
1.475158,3.105,21.7817090648892,22.0609617452083
1.500101,3.105,21.223203704251,21.7817090648892
1.525136,0,21.5024563845701,22.0609617452083
1.550028,0,19.5476876223365,20.3854456632938
1.575046,0,16.4759081388265,18.151424220741
1.60003,0,13.4041286553165,15.079644737231
1.625032,0,10.3323491718064,12.5663706143592
1.65003,0,7.26056968829641,10.3323491718064
1.675008,0,4.74729556542458,8.09832772925369
1.700018,0,1.95476876223365,5.58505360638185
1.724993,0,0.279252680319093,3.35103216382911
1.750057,0,0,1.67551608191456
1.775061,0,0,0
1.800065,0,0,0
1.825011,0,0,0
1.850055,0,0,0
1.875033,0,0,0
1.900067,0,0,0
1.925015,0,0,0
1.950059,0,0,0
1.975091,0,0,0
2.000011,0,0,0
2.025067,3.105,0,0
2.050027,3.105,6.98131700797732,6.70206432765823
2.075031,3.105,15.079644737231,14.2418866962737
2.100036,3.105,18.4306769010601,18.151424220741
2.125051,3.105,20.1061929829747,20.1061929829747
2.150076,3.105,20.943951023932,20.943951023932
2.17507,3.105,21.223203704251,21.5024563845701
2.200027,3.105,21.223203704251,21.7817090648892
2.225052,3.105,21.5024563845701,22.0609617452083
2.250053,3.105,21.5024563845701,21.7817090648892
2.275015,3.105,21.223203704251,22.0609617452083
2.300098,3.105,21.5024563845701,22.0609617452083
2.325116,3.105,21.5024563845701,22.0609617452083
2.42749,3.105,88.2438469808333,90.477868423386
2.450026,3.105,19.2684349420174,20.1061929829747
2.475031,3.105,21.5024563845701,22.0609617452083
2.500034,3.105,21.5024563845701,22.0609617452083
2.525144,0,21.7817090648892,22.3402144255274
2.550053,0,19.5476876223365,20.3854456632938
2.575014,0,16.4759081388265,18.151424220741
2.600087,0,13.4041286553165,15.3588974175501
2.625047,0,10.6116018521255,13.1248759749974
2.649996,0,7.26056968829641,10.3323491718064
2.675056,0,4.74729556542458,8.09832772925369
2.700083,0,2.23402144255274,5.86430628670095
2.725078,0,0,3.63028484414821
2.750046,0,0,1.39626340159546
2.775031,0,0,0.279252680319093
2.800036,0,0,0
2.825063,0,0,0
2.850111,0,0,0
2.875132,0,0,0
2.900052,0,0,0
2.925132,0,0,0
2.950041,0,0,0
2.975031,0,0,0
3.000022,0,0,0
3.025103,0,0,0
3.050026,0,0,0
3.075012,0,0,0
3.100095,0,0,0
3.125068,0,0,0
3.15006,0,0,0
3.175034,0,0,0
3.200041,0,0,0
3.225074,0,0,0
3.250025,0,0,0
3.275105,0,0,0
3.299989,0,0,0
3.325012,0,0,0
3.350084,0,0,0
3.37509,0,0,0
3.400022,0,0,0
3.425043,0,0,0
3.450058,0,0,0
3.475071,0,0,0
3.500311,0,0,0
3.525141,3.105,4.74729556542458,3.9095375244673
3.550136,3.105,13.9626340159546,13.1248759749974
3.575049,3.105,18.151424220741,17.3136661797837
3.60009,3.105,19.8269403026556,19.8269403026556
3.625071,3.105,20.6646983436129,20.943951023932
3.650019,3.105,21.223203704251,21.5024563845701
3.67504,3.105,21.223203704251,21.5024563845701
3.700121,3.105,21.5024563845701,22.0609617452083
3.725126,3.105,21.5024563845701,22.0609617452083
3.75003,3.105,21.5024563845701,21.7817090648892
3.775052,3.105,21.5024563845701,22.0609617452083
3.800069,3.105,21.5024563845701,22.3402144255274
3.825039,3.105,21.5024563845701,22.0609617452083
3.850033,3.105,21.5024563845701,22.0609617452083
3.875105,3.105,21.5024563845701,22.0609617452083
3.900114,3.105,21.5024563845701,22.0609617452083
3.925066,3.105,21.5024563845701,22.3402144255274
3.950026,3.105,21.5024563845701,22.0609617452083
3.975005,3.105,21.5024563845701,22.0609617452083
4.000011,3.105,21.5024563845701,22.3402144255274
4.025028,3.105,21.5024563845701,22.0609617452083
4.050041,3.105,21.223203704251,22.0609617452083
4.075144,3.105,21.5024563845701,22.3402144255274
4.100028,3.105,21.5024563845701,22.0609617452083
4.12506,3.105,21.5024563845701,22.0609617452083
4.150034,3.105,21.223203704251,22.3402144255274
4.175046,3.105,21.5024563845701,22.0609617452083
4.200074,3.105,21.223203704251,22.0609617452083
4.225122,3.105,21.5024563845701,22.3402144255274
4.250119,3.105,21.5024563845701,22.0609617452083
4.275025,3.105,21.223203704251,22.0609617452083
4.300047,3.105,21.223203704251,22.0609617452083
4.325021,3.105,21.5024563845701,22.0609617452083
4.350024,3.105,21.223203704251,22.0609617452083
4.37502,3.105,21.5024563845701,22.3402144255274
4.400118,3.105,21.223203704251,22.0609617452083
4.425139,3.105,21.5024563845701,22.0609617452083
4.450069,3.105,21.223203704251,22.0609617452083
4.475135,3.105,21.223203704251,22.3402144255274
4.500028,3.105,21.5024563845701,21.7817090648892
4.525138,3.105,21.223203704251,22.3402144255274
4.550018,3.105,21.5024563845701,21.7817090648892
4.575024,3.105,21.223203704251,22.0609617452083
4.60015,3.105,21.5024563845701,22.3402144255274
4.625022,3.105,21.5024563845701,21.7817090648892
4.650048,3.105,21.223203704251,22.0609617452083
4.674995,3.105,21.5024563845701,22.0609617452083
4.700014,3.105,21.5024563845701,22.0609617452083
4.725073,3.105,21.5024563845701,22.0609617452083
4.75002,3.105,21.223203704251,22.0609617452083
4.775151,3.105,21.5024563845701,22.0609617452083
4.8,3.105,21.223203704251,22.0609617452083
4.825117,3.105,21.5024563845701,22.0609617452083
4.850007,3.105,21.5024563845701,22.0609617452083
4.875029,3.105,21.223203704251,22.0609617452083
4.900036,3.105,21.5024563845701,22.0609617452083
4.925141,3.105,21.223203704251,22.3402144255274
4.949993,3.105,21.223203704251,21.7817090648892
4.975074,3.105,21.5024563845701,22.3402144255274
5.000103,3.105,21.223203704251,22.0609617452083
5.02504,3.105,21.5024563845701,22.0609617452083
5.050013,3.105,21.223203704251,22.0609617452083
5.075054,3.105,21.5024563845701,22.0609617452083
5.100045,3.105,21.223203704251,22.0609617452083
5.125046,3.105,21.5024563845701,22.0609617452083
5.150011,3.105,21.5024563845701,22.0609617452083
5.174995,3.105,21.223203704251,22.0609617452083
5.200002,3.105,21.5024563845701,22.3402144255274
5.225013,3.105,21.223203704251,22.0609617452083
5.25005,3.105,21.5024563845701,22.0609617452083
5.27507,3.105,21.223203704251,22.0609617452083
5.300043,3.105,21.5024563845701,22.0609617452083
5.325034,3.105,21.5024563845701,22.3402144255274
5.350043,3.105,21.223203704251,22.0609617452083
5.375033,3.105,21.5024563845701,22.3402144255274
5.400052,3.105,21.5024563845701,22.0609617452083
5.42505,3.105,21.5024563845701,22.0609617452083
5.450051,3.105,21.223203704251,22.0609617452083
5.475032,3.105,21.5024563845701,22.3402144255274
5.500087,3.105,21.5024563845701,22.0609617452083
5.525098,3.105,21.223203704251,22.0609617452083
5.550064,3.105,21.5024563845701,22.0609617452083
5.575013,3.105,21.223203704251,22.0609617452083
5.600077,3.105,21.5024563845701,22.3402144255274
5.625108,3.105,21.223203704251,22.0609617452083
5.650052,3.105,21.5024563845701,22.3402144255274
5.675097,3.105,21.223203704251,22.0609617452083
5.7,3.105,21.223203704251,22.3402144255274
5.725016,3.105,21.5024563845701,22.0609617452083
5.750077,3.105,21.223203704251,22.3402144255274
5.775105,3.105,21.223203704251,22.3402144255274
5.800138,3.105,21.5024563845701,22.0609617452083
5.824995,3.105,21.223203704251,22.0609617452083
5.850074,3.105,21.5024563845701,22.3402144255274
5.875063,3.105,21.223203704251,22.0609617452083
5.900001,3.105,21.223203704251,22.3402144255274
5.92505,3.105,21.5024563845701,22.0609617452083
5.950111,3.105,21.223203704251,22.0609617452083
5.975123,3.105,21.5024563845701,22.3402144255274
6.000056,3.105,21.223203704251,22.0609617452083
6.025103,3.105,21.5024563845701,22.3402144255274
6.050024,3.105,21.223203704251,22.0609617452083
6.075028,3.105,21.223203704251,21.7817090648892
6.099999,3.105,21.5024563845701,22.0609617452083
6.125009,3.105,21.223203704251,22.0609617452083
6.150144,3.105,21.5024563845701,22.0609617452083
6.175011,3.105,21.223203704251,22.0609617452083
6.200043,3.105,21.223203704251,22.0609617452083
6.225001,3.105,21.223203704251,22.0609617452083
6.250064,3.105,21.5024563845701,22.3402144255274
6.275086,3.105,21.223203704251,22.0609617452083
6.300101,3.105,21.223203704251,22.0609617452083
6.325143,3.105,21.5024563845701,22.3402144255274
6.350055,3.105,21.223203704251,22.0609617452083
6.375083,3.105,21.223203704251,22.0609617452083
6.40002,3.105,21.5024563845701,22.3402144255274
6.425029,3.105,21.223203704251,22.0609617452083
6.450079,3.105,21.5024563845701,22.3402144255274
6.475016,3.105,21.223203704251,22.0609617452083
6.500098,3.105,21.5024563845701,22.3402144255274
6.525174,3.105,21.5024563845701,22.0609617452083
6.550097,3.105,21.5024563845701,22.3402144255274
6.575044,3.105,21.223203704251,22.0609617452083
6.600046,3.105,21.5024563845701,22.0609617452083
6.625079,3.105,21.5024563845701,22.3402144255274
6.650018,3.105,21.223203704251,22.0609617452083
6.675138,3.105,21.5024563845701,22.3402144255274
6.700065,3.105,21.5024563845701,22.0609617452083
6.725109,3.105,21.223203704251,22.0609617452083
6.750046,3.105,21.5024563845701,22.0609617452083
6.775026,3.105,21.5024563845701,22.0609617452083
6.800072,3.105,21.223203704251,22.3402144255274
6.825136,3.105,21.5024563845701,22.0609617452083
6.850151,3.105,21.5024563845701,22.0609617452083
6.875058,3.105,21.223203704251,22.0609617452083
6.900053,3.105,21.5024563845701,22.0609617452083
6.925051,3.105,21.5024563845701,22.0609617452083
6.950058,3.105,21.223203704251,22.0609617452083
6.975026,3.105,21.5024563845701,22.0609617452083
7.000008,3.105,21.223203704251,22.0609617452083
7.02509,0,21.5024563845701,22.3402144255274
7.050006,0,19.5476876223365,20.6646983436129
7.075094,0,16.4759081388265,18.151424220741
7.100061,0,13.1248759749974,15.6381500978692
7.125012,0,10.0530964914873,12.8456232946783
7.149994,0,6.98131700797732,10.6116018521255
7.175028,0,4.18879020478639,8.09832772925369
7.200124,0,1.67551608191456,6.14355896702004
7.225088,0,0,3.63028484414821
7.250059,0,0,1.67551608191456
7.275065,0,0,0.279252680319093
7.300015,0,0,0
7.32507,0,0,0
7.35001,0,0,0
7.375161,0,0,0
7.400049,0,0,0
7.425119,0,0,0
7.450064,0,0,0
7.475012,0,0,0
7.499999,0,0,0
7.525117,0,0,0
7.550039,3.105,5.02654824574367,4.46804288510548
7.575049,3.105,13.6833813356355,12.8456232946783
7.600063,3.105,17.8721715404219,17.3136661797837
7.625047,3.105,19.8269403026556,19.5476876223365
7.649999,3.105,20.6646983436129,20.6646983436129
7.675019,3.105,20.943951023932,21.223203704251
7.700041,3.105,20.943951023932,21.7817090648892
7.725018,3.105,21.223203704251,21.7817090648892
7.750041,3.105,21.5024563845701,21.7817090648892
7.77504,3.105,21.223203704251,22.0609617452083
7.800035,3.105,21.223203704251,22.0609617452083
7.825034,3.105,21.5024563845701,21.7817090648892
7.850091,3.105,21.5024563845701,22.3402144255274
7.875118,3.105,21.5024563845701,22.0609617452083
7.900058,3.105,21.5024563845701,22.0609617452083
7.925112,3.105,21.5024563845701,22.0609617452083
7.950013,3.105,21.223203704251,22.0609617452083
7.975059,3.105,21.5024563845701,22.3402144255274
8.000083,3.105,21.223203704251,22.0609617452083
8.025076,3.105,21.5024563845701,22.0609617452083
8.050032,3.105,21.5024563845701,22.0609617452083
8.075075,3.105,21.5024563845701,22.3402144255274
8.100045,3.105,21.223203704251,22.0609617452083
8.124999,3.105,21.5024563845701,22.3402144255274
8.149994,3.105,21.5024563845701,22.0609617452083
8.175005,3.105,21.5024563845701,22.0609617452083
8.200024,3.105,21.223203704251,22.3402144255274
8.225155,3.105,21.5024563845701,22.3402144255274
8.250053,3.105,21.223203704251,22.0609617452083
8.275104,3.105,21.5024563845701,22.0609617452083
8.300053,3.105,21.5024563845701,22.3402144255274
8.325052,3.105,21.223203704251,22.0609617452083
8.350002,3.105,21.223203704251,22.0609617452083
8.375015,3.105,21.5024563845701,22.3402144255274
8.400139,3.105,21.5024563845701,22.3402144255274
8.425056,3.105,21.223203704251,21.7817090648892
8.450115,3.105,21.5024563845701,22.3402144255274
8.475024,3.105,21.223203704251,22.0609617452083
8.500006,3.105,21.223203704251,22.0609617452083
8.525054,3.105,21.5024563845701,22.3402144255274
8.550054,3.105,21.223203704251,22.3402144255274
8.575152,3.105,21.5024563845701,22.0609617452083
8.600076,3.105,21.5024563845701,22.0609617452083
8.625102,3.105,21.223203704251,22.3402144255274
8.650056,3.105,21.5024563845701,22.0609617452083
8.675059,3.105,21.223203704251,22.3402144255274
8.700014,3.105,21.5024563845701,22.0609617452083
8.725037,3.105,21.5024563845701,22.3402144255274
8.750041,3.105,21.223203704251,22.3402144255274
8.775004,3.105,21.5024563845701,22.0609617452083
8.799999,3.105,21.5024563845701,22.0609617452083
8.825055,3.105,21.5024563845701,22.3402144255274
8.850018,3.105,21.223203704251,22.0609617452083
8.875071,3.105,21.5024563845701,22.3402144255274
8.900102,3.105,21.5024563845701,22.0609617452083
8.925027,3.105,21.5024563845701,22.3402144255274
8.95009,3.105,21.5024563845701,22.0609617452083
8.975062,3.105,21.223203704251,22.3402144255274
8.999993,3.105,21.5024563845701,22.0609617452083
9.025051,0,21.5024563845701,22.3402144255274
9.050139,0,19.8269403026556,20.943951023932
9.075107,0,16.1966554585074,18.151424220741
9.099998,0,13.1248759749974,15.6381500978692
9.125043,0,10.0530964914873,13.4041286553165
9.150073,0,7.26056968829641,10.8908545324446
9.175055,0,4.46804288510548,8.37758040957278
9.200041,0,1.67551608191456,6.14355896702004
9.225128,0,0,4.18879020478639
9.250128,0,0,1.95476876223365
9.275,0,0,0.279252680319093
9.300123,0,0,0
9.325009,0,0,0
9.350028,0,0,0
9.375067,0,0,0
9.400019,0,0,0
9.42513,0,0,0
9.450006,0,0,0
9.475082,0,0,0
9.500007,0,0,0
9.52511,0,0,0
9.550055,0,0,0
9.575047,0,0,0
9.600002,0,0,0
9.625083,0,0,0
9.650019,0,0,0
9.675026,0,0,0
9.699998,0,0,0
9.725048,0,0,0
9.75008,0,0,0
9.775081,0,0,0
9.800056,0,0,0
9.825008,0,0,0
9.850014,0,0,0
9.875023,0,0,0
9.900107,0,0,0
9.925115,0,0,0
9.949995,0,0,0
9.975092,0,0,0
10.000025,0,0,0
10.025098,3.105,0,0
10.050006,3.105,6.70206432765823,6.42281164733913
10.075015,3.105,14.8003920569119,14.2418866962737
10.100132,3.105,18.4306769010601,17.8721715404219
10.125041,3.105,19.5476876223365,19.8269403026556
10.150141,3.105,20.6646983436129,21.223203704251
10.17505,3.105,20.943951023932,21.5024563845701
10.200028,3.105,21.223203704251,21.5024563845701
10.225061,3.105,21.223203704251,22.0609617452083
10.250022,3.105,21.223203704251,22.0609617452083
10.275146,3.105,21.5024563845701,22.0609617452083
10.300055,3.105,21.5024563845701,22.0609617452083
10.325074,3.105,21.223203704251,22.0609617452083
10.350058,3.105,21.5024563845701,22.0609617452083
10.375044,3.105,21.5024563845701,22.3402144255274
10.400011,3.105,21.223203704251,22.0609617452083
10.425025,3.105,21.5024563845701,22.3402144255274
10.450158,3.105,21.5024563845701,22.3402144255274
10.475066,3.105,21.5024563845701,22.0609617452083
10.499992,3.105,21.223203704251,22.3402144255274
10.525099,0,21.7817090648892,22.3402144255274
10.550026,0,19.5476876223365,20.943951023932
10.575042,0,16.4759081388265,18.4306769010601
10.600049,0,13.4041286553165,15.6381500978692
10.625002,0,10.3323491718064,13.4041286553165
10.650015,0,7.5398223686155,11.1701072127637
10.675031,0,4.74729556542458,8.65683308989187
10.700001,0,1.95476876223365,6.42281164733913
10.72502,0,0.279252680319093,4.46804288510548
10.750066,0,0,2.23402144255274
10.775076,0,0,0.279252680319093
10.800058,0,0,0
10.825074,0,0,0
10.850041,0,0,0
10.875044,0,0,0
10.900053,0,0,0
10.92508,0,0,0
10.950088,0,0,0
10.975027,0,0,0
11.000103,0,0,0
11.025204,3.105,0,0
11.050057,3.105,6.42281164733913,6.14355896702004
11.075057,3.105,14.5211393765928,13.9626340159546
11.10013,3.105,18.4306769010601,18.151424220741
11.125136,3.105,19.8269403026556,20.1061929829747
11.150071,3.105,20.943951023932,20.943951023932
11.175115,3.105,20.943951023932,21.5024563845701
11.200039,3.105,21.223203704251,21.7817090648892
11.22502,3.105,21.5024563845701,22.0609617452083
11.250081,3.105,21.223203704251,22.0609617452083
11.275029,3.105,21.5024563845701,22.3402144255274
11.300154,3.105,21.5024563845701,22.3402144255274
11.325037,3.105,21.5024563845701,21.7817090648892
11.350065,3.105,21.5024563845701,22.3402144255274
11.375074,3.105,21.5024563845701,22.3402144255274
11.40005,3.105,21.5024563845701,22.0609617452083
11.425016,3.105,21.5024563845701,22.3402144255274
11.450034,3.105,21.5024563845701,22.3402144255274
11.475155,3.105,21.5024563845701,22.3402144255274
11.500096,3.105,21.5024563845701,22.0609617452083
11.525064,0,21.5024563845701,22.3402144255274
11.550009,0,19.8269403026556,20.943951023932
11.57501,0,16.4759081388265,18.151424220741
11.600001,0,13.6833813356355,15.9174027781883
11.625025,0,10.3323491718064,13.4041286553165
11.650135,0,7.5398223686155,11.1701072127637
11.675021,0,4.74729556542458,8.65683308989187
11.700082,0,2.23402144255274,6.42281164733913
11.725048,0,0.279252680319093,4.18879020478639
11.75002,0,0,2.23402144255274
11.774998,0,0,0.558505360638185
11.800013,0,0,0
11.825152,0,0,0
11.850002,0,0,0
11.875105,0,0,0
11.900017,0,0,0
11.925016,0,0,0
11.950076,0,0,0
11.975138,0,0,0
12.00018,0,0,0
12.02512,3.105,0,0
12.050088,3.105,6.70206432765823,6.42281164733913
12.075062,3.105,14.8003920569119,14.2418866962737
12.100064,3.105,18.4306769010601,18.4306769010601
12.125017,3.105,20.1061929829747,20.1061929829747
12.150042,3.105,20.6646983436129,20.943951023932
12.175064,3.105,20.943951023932,21.7817090648892
12.200081,3.105,21.5024563845701,21.7817090648892
12.225005,3.105,21.223203704251,22.0609617452083
12.25003,3.105,21.5024563845701,22.3402144255274
12.275031,3.105,21.223203704251,22.0609617452083
12.300058,3.105,21.5024563845701,22.3402144255274
12.32508,3.105,21.5024563845701,22.0609617452083
12.349999,3.105,21.5024563845701,22.3402144255274
