t,u,wl,wr
0,0,0,0
0.0499560000000017,0,0,0
0.100039000000002,0,0,0
0.150024999999999,0,0,0
0.200026000000001,0,0,0
0.250035,0,0,0
0.299956000000002,3.105,0.139626340159546,0
0.350016,3.105,12.1474915938805,11.4493598930828
0.399978000000001,3.105,18.4306769010601,18.5703032412197
0.450016000000002,3.105,19.5476876223365,20.2458193231342
0.499982000000003,0,19.687313962496,20.3854456632938
0.549991000000002,0,14.8003920569119,16.1966554585074
0.600035000000002,0,7.12094334813686,9.49459113084915
0.649982000000001,0,1.11701072127637,3.9095375244673
0.699986000000003,0,0,0.279252680319093
0.750015000000001,0,0,0
0.799963000000002,0,0,0
0.850125000000002,0,0,0
0.900008,3.105,0.139626340159546,0
0.949959,3.105,12.2871179340401,11.5889862332423
0.999979,3.105,18.5703032412197,18.5703032412197
1.050045,3.105,19.5476876223365,20.2458193231342
1.099965,0,19.8269403026556,20.5250720034533
1.149998,0,14.6607657167524,16.3362817986669
1.200004,3.105,7.40019602845596,9.91347015132779
1.250019,3.105,13.9626340159546,14.5211393765928
1.299965,0,18.7099295813792,19.2684349420174
1.350034,0,14.3815130364333,16.0570291183478
1.399961,0,6.84169066781777,9.6342174710087
1.45,0,0.977384381116825,3.9095375244673
1.500096,0,0,0.279252680319093
1.549978,0,0,0
1.600014,3.105,0.279252680319093,0.279252680319093
1.650043,3.105,12.8456232946783,12.1474915938805
1.700052,0,18.4306769010601,18.8495559215388
1.750004,0,14.1022603561142,15.4985237577096
1.79999,0,6.70206432765823,9.35496479068961
1.849989,0,0.977384381116825,3.63028484414821
1.900033,3.105,0.139626340159546,0.279252680319093
1.950074,3.105,12.4267442741996,12.007865253721
1.99997,0,18.5703032412197,18.7099295813792
2.050017,0,14.2418866962737,15.6381500978692
2.099996,0,6.70206432765823,9.35496479068961
2.150054,0,0.977384381116825,3.76991118430775
2.199956,0,0,0.279252680319093
2.24998,0,0,0
2.300056,3.105,0.139626340159546,0.139626340159546
2.350016,3.105,12.4267442741996,11.8682389135614
2.399989,3.105,18.7099295813792,18.8495559215388
2.449997,3.105,19.5476876223365,20.5250720034533
2.500053,3.105,19.8269403026556,20.6646983436129
2.550042,3.105,20.1061929829747,20.943951023932
2.600024,3.105,19.9665666428151,20.8043246837724
2.650025,3.105,20.1061929829747,20.8043246837724
2.700036,0,19.9665666428151,20.943951023932
2.749993,0,14.9400183970715,16.7551608191456
2.800031,3.105,7.5398223686155,10.471975511966
2.849984,3.105,13.9626340159546,14.6607657167524
2.900007,3.105,18.7099295813792,19.1288086018579
2.949989,3.105,19.687313962496,20.5250720034533
3.000012,3.105,19.9665666428151,20.8043246837724
3.049963,3.105,20.1061929829747,20.8043246837724
3.099964,3.105,20.1061929829747,20.943951023932
3.149995,3.105,20.1061929829747,21.0835773640915
3.199999,3.105,20.2458193231342,20.943951023932
3.25002,3.105,20.1061929829747,21.0835773640915
3.300036,3.105,20.1061929829747,20.943951023932
3.350116,3.105,20.2458193231342,21.0835773640915
3.400002,0,20.1061929829747,20.943951023932
3.449958,0,14.9400183970715,16.7551608191456
3.49997,3.105,7.5398223686155,10.471975511966
3.550084,3.105,14.2418866962737,15.079644737231
3.600069,3.105,18.8495559215388,19.4080612821769
3.649982,3.105,19.687313962496,20.5250720034533
3.700009,0,19.9665666428151,20.8043246837724
3.750035,0,14.8003920569119,16.7551608191456
3.800115,0,7.26056968829641,10.1927228316469
3.850021,0,1.25663706143592,4.60766922526503
3.899999,0,0,0.418879020478639
3.950062,0,0,0
4.000079,0,0,0
4.050062,0,0,0
4.100028,3.105,0.139626340159546,0.139626340159546
4.149992,3.105,12.4267442741996,11.8682389135614
4.20003,3.105,18.5703032412197,18.7099295813792
4.250024,3.105,19.687313962496,20.3854456632938
4.299957,0,19.9665666428151,20.6646983436129
4.349962,0,15.079644737231,16.7551608191456
4.400102,3.105,7.67944870877505,10.471975511966
4.450027,3.105,14.5211393765928,15.2192710773906
4.50001,3.105,18.9891822616983,19.4080612821769
4.550007,3.105,19.8269403026556,20.6646983436129
4.599971,0,19.9665666428151,20.8043246837724
4.650012,0,14.9400183970715,16.7551608191456
4.700025,0,7.5398223686155,10.3323491718064
4.749969,0,1.39626340159546,4.60766922526503
4.800012,0,0,0.418879020478639
4.850001,0,0,0
4.899965,0,0,0
4.949963,0,0,0
5.000045,0,0,0
5.050034,0,0,0
5.099984,3.105,0.279252680319093,0.279252680319093
5.149972,3.105,12.4267442741996,12.007865253721
5.200002,0,18.5703032412197,18.5703032412197
5.249997,0,13.9626340159546,15.3588974175501
5.299965,0,6.56243798749868,9.07571211037051
5.349976,0,0.977384381116825,3.49065850398866
5.400046,0,0,0.139626340159546
5.44997,0,0,0
5.49998,3.105,0.139626340159546,0.139626340159546
5.549975,3.105,12.4267442741996,12.007865253721
5.599976,0,18.4306769010601,18.7099295813792
5.650111,0,14.2418866962737,15.7777764380287
5.700057,3.105,6.70206432765823,9.49459113084915
5.749964,3.105,14.1022603561142,14.8003920569119
5.800018,0,18.8495559215388,19.5476876223365
5.850037,0,14.6607657167524,16.0570291183478
5.900008,3.105,7.40019602845596,10.0530964914873
5.950005,3.105,14.3815130364333,15.079644737231
5.99996,0,18.8495559215388,19.5476876223365
6.049989,0,14.5211393765928,16.0570291183478
6.100108,0,6.98131700797732,9.77384381116824
6.14998,0,1.11701072127637,4.18879020478639
6.200035,0,0,0.279252680319093
6.25002,0,0,0
6.300062,3.105,0.139626340159546,0.139626340159546
6.350075,3.105,12.007865253721,11.4493598930828
6.399975,3.105,18.5703032412197,18.7099295813792
6.44997,3.105,19.5476876223365,20.2458193231342
6.500007,0,19.9665666428151,20.8043246837724
6.550082,0,14.8003920569119,16.615534478986
6.599956,3.105,7.40019602845596,10.3323491718064
6.649967,3.105,14.1022603561142,14.8003920569119
6.699987,0,18.8495559215388,19.5476876223365
6.750042,0,14.2418866962737,16.1966554585074
6.799999,0,6.84169066781777,9.77384381116824
6.849975,0,0.977384381116825,4.32841654494594
6.900022,3.105,0.279252680319093,0.558505360638185
6.95005,3.105,12.7059969545187,12.2871179340401
7.000024,0,18.5703032412197,18.9891822616983
7.050026,0,14.2418866962737,15.9174027781883
7.100042,0,6.98131700797732,9.6342174710087
7.150039,0,0.977384381116825,4.18879020478639
7.199978,0,0,0.279252680319093
7.249997,0,0,0
7.299975,3.105,0.139626340159546,0.139626340159546
7.350011,3.105,12.4267442741996,11.8682389135614
7.400004,3.105,18.5703032412197,18.9891822616983
7.449973,3.105,19.8269403026556,20.5250720034533
7.49997,0,19.8269403026556,20.8043246837724
7.549993,0,14.6607657167524,16.615534478986
7.599957,0,7.26056968829641,10.3323491718064
7.650006,0,1.11701072127637,4.60766922526503
7.699986,3.105,0.139626340159546,0.558505360638185
7.750114,3.105,12.1474915938805,11.7286125734019
7.800091,0,18.5703032412197,18.7099295813792
7.849975,0,14.1022603561142,15.6381500978692
7.899968,3.105,6.84169066781777,9.6342174710087
7.950065,3.105,14.1022603561142,14.8003920569119
8.000028,0,18.8495559215388,19.5476876223365
8.050023,0,14.6607657167524,16.1966554585074
8.100004,3.105,7.40019602845596,10.1927228316469
8.150018,3.105,14.2418866962737,15.2192710773906
8.200052,0,19.1288086018579,19.687313962496
8.249962,0,14.8003920569119,16.4759081388265
8.299961,0,7.67944870877505,10.3323491718064
8.350045,0,1.39626340159546,4.74729556542458
8.400107,0,0,0.418879020478639
8.450072,0,0,0
8.499957,0,0,0
8.550043,0,0,0
8.600081,0,0,0
8.650012,0,0,0
8.699971,0,0,0
8.749964,0,0,0
8.800022,3.105,0.139626340159546,0.139626340159546
8.849998,3.105,12.2871179340401,11.7286125734019
8.899975,0,18.5703032412197,18.8495559215388
