t,u,wl,wr
0,0,0,0
0.0251439999999974,0,0,0
0.0500339999999966,3.105,1.11701072127637,0.837758040957278
0.0750740000000008,3.105,10.6116018521255,9.77384381116824
0.0999790000000047,3.105,16.1966554585074,15.6381500978692
0.124981000000005,3.105,19.2684349420174,18.7099295813792
0.150052000000002,3.105,20.1061929829747,20.1061929829747
0.175065000000004,3.105,20.943951023932,20.6646983436129
0.200045000000003,3.105,21.223203704251,21.223203704251
0.225059999999999,3.105,21.223203704251,21.7817090648892
0.250019000000009,3.105,21.223203704251,21.7817090648892
0.275036,3.105,21.5024563845701,21.7817090648892
0.300027,3.105,21.223203704251,21.7817090648892
0.325084000000004,3.105,21.5024563845701,21.7817090648892
0.350104000000002,3.105,21.5024563845701,22.0609617452083
0.375000999999997,3.105,21.223203704251,21.7817090648892
0.400096000000005,3.105,21.7817090648892,22.0609617452083
0.425013000000007,3.105,21.223203704251,21.7817090648892
0.449984999999998,3.105,21.5024563845701,22.0609617452083
0.475054999999998,3.105,21.5024563845701,22.0609617452083
0.5,3.105,21.5024563845701,21.7817090648892
0.525119000000004,3.105,21.5024563845701,22.0609617452083
0.549991000000006,3.105,21.5024563845701,22.0609617452083
0.575046,3.105,21.5024563845701,22.0609617452083
0.600015999999997,3.105,21.5024563845701,21.7817090648892
0.625025000000008,3.105,21.5024563845701,22.0609617452083
0.650011000000006,3.105,21.5024563845701,22.0609617452083
0.675063000000009,3.105,21.5024563845701,22.0609617452083
0.700089000000006,3.105,21.5024563845701,22.0609617452083
0.725054999999998,3.105,21.5024563845701,22.0609617452083
0.750067000000001,3.105,21.5024563845701,22.0609617452083
0.775005000000007,3.105,21.5024563845701,21.7817090648892
0.799999,3.105,21.5024563845701,22.0609617452083
0.825011000000003,3.105,21.7817090648892,22.0609617452083
0.850068000000007,3.105,21.5024563845701,22.0609617452083
0.87509,3.105,21.5024563845701,22.0609617452083
0.899988000000008,3.105,21.5024563845701,22.0609617452083
0.925041000000007,3.105,21.5024563845701,22.0609617452083
0.949993000000006,3.105,21.7817090648892,22.0609617452083
0.974981999999997,3.105,21.5024563845701,22.0609617452083
1.00004800000001,3.105,21.5024563845701,22.0609617452083
1.02510700000001,3.105,21.5024563845701,22.3402144255274
1.050017,3.105,21.5024563845701,21.7817090648892
1.1557,3.105,91.0363737840242,93.5496479068961
1.17500700000001,3.105,16.7551608191456,17.0344134994647
1.19999900000001,3.105,21.5024563845701,22.0609617452083
1.22507,3.105,21.5024563845701,22.0609617452083
1.250078,3.105,21.5024563845701,22.3402144255274
1.274996,3.105,21.5024563845701,22.0609617452083
1.300037,3.105,21.7817090648892,22.0609617452083
1.325018,3.105,21.5024563845701,22.0609617452083
1.350047,3.105,21.5024563845701,22.3402144255274
1.37502500000001,3.105,21.5024563845701,22.0609617452083
1.400051,3.105,21.7817090648892,22.0609617452083
1.42505700000001,3.105,21.5024563845701,22.3402144255274
1.450002,3.105,21.5024563845701,22.0609617452083
1.47508500000001,3.105,21.5024563845701,22.0609617452083
1.500018,3.105,21.5024563845701,22.0609617452083
1.524991,3.105,21.5024563845701,22.3402144255274
1.550022,3.105,21.5024563845701,22.0609617452083
1.575102,3.105,21.7817090648892,22.0609617452083
1.600134,3.105,21.5024563845701,22.3402144255274
1.62500900000001,3.105,21.223203704251,22.0609617452083
1.650113,3.105,21.7817090648892,22.0609617452083
1.67502500000001,3.105,21.5024563845701,22.3402144255274
1.700047,3.105,21.5024563845701,22.0609617452083
1.724988,3.105,21.5024563845701,22.0609617452083
1.750012,3.105,21.5024563845701,22.0609617452083
1.775127,3.105,21.7817090648892,22.3402144255274
1.800004,3.105,21.223203704251,22.0609617452083
1.825039,3.105,21.7817090648892,22.0609617452083
1.850032,3.105,21.5024563845701,22.3402144255274
1.875013,3.105,21.5024563845701,22.0609617452083
1.899995,3.105,21.5024563845701,22.0609617452083
1.92502500000001,3.105,21.7817090648892,22.0609617452083
1.95014,3.105,21.7817090648892,22.3402144255274
1.97502900000001,3.105,21.5024563845701,22.0609617452083
2.00005300000001,3.105,21.5024563845701,22.3402144255274
2.025025,3.105,21.7817090648892,22.0609617452083
2.05004700000001,0,21.223203704251,21.7817090648892
2.075073,0,18.7099295813792,19.8269403026556
2.100061,0,15.3588974175501,17.0344134994647
2.12504,0,12.5663706143592,14.5211393765928
2.14998800000001,0,9.21533845053006,12.2871179340401
2.25488800000001,0,11.7286125734019,26.2497519499947
2.27503400000001,0,0,0.837758040957278
2.29999600000001,0,0,0
2.32510500000001,0,0,0
2.350026,0,0,0
2.375102,0,0,0
2.399986,0,0,0
2.42503600000001,0,0,0
2.450046,0,0,0
2.475115,0,0,0
2.50013,0,0,0
2.525077,0,0,0
2.55005800000001,0,0,0
2.57500400000001,0,0,0
2.60002800000001,0,0,0
2.624988,0,0,0
2.650001,0,0,0
2.675145,0,0,0
2.700006,0,0,0
2.725094,0,0,0
2.750035,0,0,0
2.77504400000001,0,0,0
2.799999,0,0,0
2.82502100000001,0,0,0
2.85014700000001,0,0,0
2.875033,0,0,0
2.90008400000001,0,0,0
2.925033,0,0,0
2.95004800000001,0,0,0
2.97501200000001,0,0,0
3.00000800000001,0,0,0
3.025137,0,0,0
3.04999100000001,3.105,0.837758040957278,0.837758040957278
3.074997,3.105,10.6116018521255,9.77384381116824
3.100014,3.105,16.4759081388265,15.6381500978692
3.125011,3.105,18.9891822616983,18.7099295813792
3.15003300000001,3.105,20.3854456632938,20.3854456632938
3.175049,3.105,20.943951023932,20.943951023932
3.200005,3.105,20.943951023932,21.223203704251
